"체육시설일련번호","자치구","시설명","시설유형","시설우편번호","시설주소","시설상세주소","시설규모","운영기관","연락처","운영시간_평일","운영시간_주말","운영시간_공휴일","시설대관여부","시설사용료","주차정보","홈페이지","시설종류","시설운영상태","시설편의시설","비고"
"772","강남","강남주민편익시설","공공체육시설","","서울특별시 강남구 남부순환로 3318","","지상 3층","흥사단","02-3412-2171","09:00~21:00","주말 및 공휴일 휴관","","가능","운영 프로그램에 따라 이용 요금 상이","프로그램 이용 회원에 한해 3시간 무료 주차","http://ykasports.com/","기타","운영","샤워실, 탈의실, 카페",""
"1476","강남","강남주민편익시설 수영장","공공체육시설","06340","서울특별시 강남구 남부순환로 3318 ","(수영장)","성인풀 6레인, 어린이풀","흥사단","02-3412-2171","09:00~21:00 ","주말 및 공휴일 휴관","","가능","운영 프로그램에 따라 이용 요금 상이","프로그램 이용 회원에 한해 3시간 무료 주차","https://ykasports.com/","수영장","운영","샤워실, 탈의실, 카페",""
"795","강동","강동유소년스포츠센터","공공체육시설","","서울특별시 강동구 상일로12길 60","","지하 1층, 지상 3층 (연면적 2,869.39㎡)","강동구시설관리공단","02-3428-7979","09:00~22:00","토요일 09:00~18:00 / 일요일 및 공휴일 휴관","","가능","운영 프로그램에 따라 이용 요금 상이","주차장이 협소하므로 대중교통 이용 권장","http://www.igangdong.or.kr/page/ch/ch_0601.asp","생활체육관","운영","샤워실, 탈의실, 카페, 옥상공원","* 21.11.01(월) 기준, 이용가능대상 - 백신접종완료 후, 14일이 경과한 자 - 48시간 내 PCR음성확인서를 발급받은 자 - 만 18세 이하"
"796","강동","강동청소년회관 수영장","공공체육시설","","서울특별시 강동구 양재대로138길 41","","성인풀(25m) 4레인","한국청소년연맹","02-3426-6211","06:00-22:00","일요일, 법정공휴일 휴관","토요일 : 06:00-19:00","불가능","운영 프로그램에 따라 이용 요금 상이","주차 가능","","수영장","휴관","샤워실, 탈의실, 의무실, 관람대",""
"818","강북","강북구민운동장","공공체육시설","","서울특별시 강북구 오현로 187-25","","축구장 : 100m x 64m (국제공식규격) / 본부석 막구조물 1동 (부대규모 39m x 11m) / 족구장 / 농구장 2개소 / 조깅트랙 등","강북구도시관리공단","02-987-6893","06:00~22:00","06:00~22:00 (연중무휴)","대관시간 06:00~22:00","가능","체육행사 : 55,000원 / 2시간 체육 외 행사 : 250,000원 / 3시간 족구장 : 4,000원 / 1시간 조명탑 : 22,000원 / 2시간","행사 차량 : 무료 (전일 10대, 행사시간 6대) 그 외 5분 당 250원 / 1시간 당 3,000원 / 전일 10,000원","https://www.gbcmc.or.kr/fmcs/76","축구장","운영","샤워실, 락커룸, 매점, 화장실","21.11.01(월) 단계적 일상회복 시행 기준 * 백신접종 미완료자 최대 4명 이용 가능 * 백신접종 완료자 포함 시 경기인원의 1.5배까지 허용"
"819","강북","강북문화예술회관","공공체육시설","","서울특별시 강북구 삼각산로 85","","지하 2층, 지상 3층","강북구도시관리공단","02-944-3060","06:00~22:00","토요일 06:00~18:00 / 일요일 및 공휴일 휴관","","불가능","운영 프로그램별 이용 요금 상이","부설주차장 5분 당 150원 강좌 수강 시 수강 시간+1시간 무료 대중교통 이용 권장","https://www.gbcmc.or.kr/fmcs/25","생활체육관","운영","샤워실, 탈의실, 매점, 인터넷카페, 독서실, 옥상공원","21.11.01(월) 기준, 1) 단계적 일상 회복 시행에 따라 시설 내 운영 종목 일부 운영 -  기구 필라테스, 아쿠아로빅, 일일수영 2) 수영장 제외 샤워실 미운영"
"820","강북","강북문화예술회관 수영장","공공체육시설","","서울특별시 강북구 삼각산로 85","","성인풀 6레인 (25m), 청소년풀 4레인 (20m)","강북구도시관리공단","02-944-3060","06:00~22:00","토요일 06:00~18:00 / 일요일 및 공휴일 휴관","","불가능","성인수영 : 34,000~49,000원 어린이수영 : 21,000~32,000원 아쿠아로빅 : 32,000~50,000원 수중보건체조 : 50,000원 월이용권 : 28,000~35,000원 일일이용권 : 2,000~4,800원","부설주차장 5분 당 150원 강좌 수강 시 수강 시간+1시간 무료 대중교통 이용 권장","https://www.gbcmc.or.kr/fmcs/25","수영장","운영","샤워실, 탈의실, 매점, 인터넷카페, 독서실, 옥상공원","21.11.01(월) 기준, 1) 단계적 일상 회복 시행에 따라 시설 내 운영 종목 일부 운영 -  기구 필라테스, 아쿠아로빅, 일일수영 2) 수영장 제외 샤워실 미운영"
"821","강북","강북웰빙스포츠센터","공공체육시설","01143","서울특별시 강북구 오현로31길 51","","지상 3층","강북구도시관리공단","02-944-2900","06:00~22:00","토요일 06:00~18:00, 일요일 09:00~18:00","첫째 주, 셋째 주 일요일 및 공휴일 휴관","가능","운영 프로그램별 이용 요금 상이","주차 가능 (69면) 강습 시간 전후 1시간 무료","https://www.gbcmc.or.kr/fmcs/70","생활체육관","운영","샤워실, 탈의실, 모유수유실","수영장 제외 샤워실 미운영"
"822","강북","강북웰빙스포츠센터 수영장","공공체육시설","01143","서울특별시 강북구 오현로31길 51 ","2층","성인풀 6레인, 유아풀 1레인 (연면적 832.5㎡)","강북구도시관리공단","02-944-2900","06:00~22:00","토요일 06:00~18:00, 일요일 09:00~18:00","첫 째주, 셋 째주 일요일 및 공휴일 휴관","가능","운영 프로그램 별 이용 요금 상이","주차 가능 (69면) 강습 시간 전후 1시간 무료","https://www.gbcmc.or.kr/fmcs/70","수영장","운영","샤워실, 탈의실, 모유수유실",""
"1621","강북","강북종합체육센터","공공체육시설","01193","서울특별시 강북구 솔샘로48길 14","","지하 2층 : 수영장(25m 6레인) 1F (헬스장, 기구 필라테스실, 헬스장, G.X룸)","강북종합체육센터","02-6958-8101~3","06:00~22:00","06:00~17:00(토) / 09:00~17:00(일)","법정 공휴일 ? 1,3,5째주 일요일(휴관일)","가능","전화문의","외부 및 주차장 (강북종합체육센터 24면, 서울문화예술교육센터 강북 33면)","https://www.sports-island-gb.co.kr/Gangbuk/","생활체육관","운영","",""
"1502","강서","강서개화축구장","공공체육시설","07505","서울특별시 강서구 개화동로8길 38","","인조잔디 축구장 1면","강서구청 체육관광과","02-2600-6078","06:00~22:00","06:00~22:00","","가능","(2시간 기준) 평일 : 60,500원 주말 및 공휴일 : 78,650원 * 야간조명 사용료 별도","주차 가능","https://sports.gangseo.seoul.kr/fmcs/5","축구장","운영","샤워실, 탈의실, 조명탑",""
"765","강서","강서구민올림픽체육센터","공공체육시설","","서울특별시 강서구 화곡로 65길 62","","지하 4층, 지상 3층 (연면적 11,357.3㎡)","강서구시설관리공단","02-3661-1999"," 06:00~21:00","토요일 06:00~16:00 / 일요일 및 공휴일 휴관","","가능","헬스 : 40,000~51,000원 골프 : 98,000~154,000원 배드민턴 : 40,000~151,000원 요가 : 32,000~48,000원  기구필라테스 : 60,000~120,000원","지하 2층 ~ 지하 4층 * 지하 2층 : 장애인, 여성 우선 주차장","https://sport.gssi.or.kr/page/sisul/01/","생활체육관","운영","샤워실, 탈의실, 휴게실, 자동판매기",""
"766","강서","강서구민올림픽체육센터 골프연습장","공공체육시설","","서울특별시 강서구 화곡로 65길 62 ","지하 1층 골프연습장","지하 4층, 지상 3층 (연면적 11,357.3㎡)","강서구시설관리공단","02-3661-1999"," 09:00~18:00","토요일 및 일요일 휴관","","불가능","강습 : 154,000원 월이용권 : 98,000원 스크린골프 : 5,500원","지하 2층 ~ 지하 4층 * 지하 2층 : 장애인, 여성 우선 주차장","https://sport.gssi.or.kr/page/sisul/01/","골프연습장","운영","샤워실, 탈의실, 휴게실, 자동판매기",""
"684","강서","강서구민올림픽체육센터 수영장","공공체육시설","","서울특별시 강서구 화곡로 65길 62 ","지하 2층","성인풀 7레인(1.2~1.5m), 유아풀(0.6m)","강서구시설관리공단","02-3661-1999","06:00~21:00","토요일 06:00~16:00 / 일요일 및 공휴일 휴관","","불가능","일반수영 : 성인 46,200원 / 청소년 26,400원 아쿠아로빅 : 46,200~63,000원 자유수영 : 41,700~180,000원 유아 및 어린이 소그룹 : 104,000원 초급자 특화 : 11,000~156,000원 월정기권 : 30,000~56,000원","지하 2층 ~ 지하 4층 * 지하 2층 : 장애인, 여성 우선 주차장","https://sport.gssi.or.kr/page/sisul/01/","수영장","운영","샤워실, 탈의실, 휴게실, 자동판매기",""
"1376","강서","강서다목적체육관","공공체육시설","07677","서울특별시 강서구 초록마을로5길 43","","배드민턴 코트 5면 / 지하 1층, 지상 1층 (연면적 872.55㎡)","강서구시설관리공단","02-3662-9082","화요일~금요일 09:00~22:00","09:00~22:00","매주 월요일, 및 설, 추석 연휴, 공휴일 휴관","가능","운영 프로그램에 따라 이용 요금 상이",".","https://sport.gssi.or.kr/page/sisul/04/","생활체육관","운영","샤워실, 탈의실",""
"686","강서","강서한강공원 인공암벽장","공공체육시설","07518","서울특별시 강서구 양천로27길 279-23","","","미래한강본부","02-3780-0621","10:00~22:00","10:00~22:00","","가능","","강서1주차장 이용 최초 30분 1,000원, 초과 10분당 200원","https://hangang.seoul.go.kr/archives/2413","기타","운영","화장실, 음수대, 그늘막, 매점",""
"685","강서","강서한강공원 족구장","공공체육시설","","서울특별시 강서구 개화동 173-8","","족구장 코트 2면 (600㎡)","한강시사업본부","02-3780-0621","4~9월 / 06:00~20:00 10월~다음 해 3월 / 07:00~17:00","4~9월 / 06:00~20:00 10월~다음 해 3월 / 07:00~17:00","","가능","4,000원 / 2시간  75,000원 / 월 정기","강서1주차장 이용 최초 30분 1,000원, 초과 10분당 200원","https://hangang.seoul.go.kr/archives/46788","족구장","운영","화장실, 음수대, 그늘막, 매점",""
"797","강동","강일테니스장","공공체육시설","","서울특별시 강동구 강일동 157-2","","테니스 하드코트 10면 (부지면적 18,060㎡)","강동구도시관리공단","02-2045-7872","06:00~22:00","06:00~22:00  ","짝수 주 수요일 및 추석, 설연휴 휴관 ","불가능","운영 프로그램에 따라 이용 요금 상이","주차 가능 (50면)","https://www.igangdong.or.kr/page/ch/ch_1301.asp","테니스장","운영","휴게실",""
"1506","강동","강일테니스장 내 족구장","공공체육시설","05208","서울특별시 강동구 아리수로93가길 34","","족구장 1면","강동구도시관리공단","02-2045-7872","06:00~22:00 / 2, 4째주 수요일 휴관","06:00~22:00 / 추석 및 설 연휴 휴장","","가능","","주차 가능 (50면)","https://www.igangdong.or.kr/page/ch/ch_1301.asp","족구장","운영","화장실, 휴게실",""
"932","성북","개운산스포츠센터","공공체육시설","","서울특별시 성북구 북악산로 949-60","","지하 1층, 지상 1층","성북구도시관리공단","02-925-9960","06:00~22:00","토요일 06:00~17:50, 일요일 휴관 / 공휴일 10:00~17:50","","가능","운영 프로그램에 따라 이용 요금 상이","주차 가능 (80면)","https://www.gongdan.go.kr/portal/main/contents.do?menuNo=400192","생활체육관","운영","샤워장, 탈의실, 락커룸, 스포츠용품점",""
"933","성북","개운산스포츠센터 수영장","공공체육시설","","서울특별시 성북구 북악산로 949-60","","성인풀(25m) 5레인, 어린이풀(11m)","성북구도시관리공단","02-925-9960","평일 06:00~22:00 ","토요일 06:00~17:50, 일요일 휴관 / 공휴일 10:00~17:50","","가능","운영 프로그램에 따라 이용 요금 상이","주차 가능 (80대)","https://www.gongdan.go.kr/portal/main/contents.do?menuNo=400193","수영장","운영","샤워실, 탈의실, 락커룸, 스포츠용품점",""
"1616","성북","개운산인조잔디구장","공공체육시설","02805","서울특별시 성북구 북악산로 949-60","(종암동 54-182)","","성북구도시관리공단","02-925-9960 ","07:00~19:00","07:00~19:00","-","가능","홈페이지 확인","전화문의","https://www.gongdan.go.kr/portal/main/contents.do?menuNo=400714","축구장","운영","",""
"829","구로","개웅산생활체육관","공공체육시설","","서울특별시 구로구 개봉로3길 108-20","","지상 2층","구로구시설관리공단","02-3666-0287","06:00~22:00","토요일 10:00~18:00 / 일요일 및 공휴일 휴관","21.11.01(월)  단계적 일상 회복 1단계 시행  일부 운영 (수영장, 헬스장)","불가능","운영 프로그램 별 이용 요금 상이 ","- 회원전용 주차장 - 프로그램 이용 회원의 경우 2시간 무료 - 주차 공간이 협소하므로 가급적 대중 교통 이용","https://www.gurosisul.or.kr/mod.asp?m=business&s=b02-1","생활체육관","운영","샤워실, 탈의실",""
"830","구로","개웅중학교","학교체육시설","","서울특별시 구로구 개봉로11길 81","","체육장 2,819㎡","개웅중학교","02-2613-3342","06:30~07:30, 17:00~18:00 (일몰 시까지)","주말 및 공휴일 06:30~18:00 (일몰 시까지)","* 체육관 07:00~22:00 (수업시간 제외)","가능","체육관 : 15,000~60,000원 운동장 : 20,000~100,000원","주차 불가","https://kaewoong.sen.ms.kr/","중학교","운영","샤워실, 탈의실, 창고",""
"1407","양천","건강힐링문화관","기타","08069","서울특별시 양천구 남부순환로83길 54","","지하 2층, 지상 3층","양천구시설관리공단","02-2691-9810","06:30~22:00","토요일 10:00~18:00 / 일요일 및 공휴일 휴관 ","","가능","운영 프로그램에 따라 이용 요금 상이","주차 가능 (29면)","https://www.ycs.or.kr/fmcs/45","생활체육관","운영","샤워실, 탈의실, 카페, 힐링치유방, 건강체험관",""
"934","성북","경동고등학교","학교체육시설","","서울특별시 성북구 삼선동3가 보문로29길 49","","체육장 24,900㎡","경동고등학교","02-928-2353","18:00~21:00","09:00~21:00","","가능","체육관 : 15,000~60,000원 운동장 : 20,000~100,000원 ","주차 불가","https://kyungdong.sen.hs.kr/","고등학교","운영","편의시설 없음",""
"687","강서","경서중학교","학교체육시설","07533","서울특별시 강서구 양천로59길 31","","체육장 9,468㎡","경서중학교","02-2668-0304","06:00~20:00","토요일 13:00~20:00, 일요일 06:00~20:00 ","수업 시간 제외","불가능","체육관 : 15,000~60,000원 운동장 : 20,000~100,000원","주차 불가","https://gyeongseo.sen.ms.kr/","중학교","운영","",""
"1023","성동","경수중학교","학교체육시설","04785","서울특별시 성동구 뚝섬로13길 14","","체육장 3,500㎡","경수중학교","02-464-0675","06:00~07:30, 16:20~18:00","토요일 06:00~07:30, 14:00~18:00","일요일 및 공휴일 06:00~18:00","가능","체육관 : 15,000~60,000원 운동장 : 15,000~100,000원 ","주차 불가","https://gsu.sen.ms.kr/","중학교","운영","샤워실, 탈의실, 창고",""
"957","양천","계남다목적체육관","공공체육시설","","서울특별시 양천구 신정로 273-5","","배드민턴 코트 15면 / 배구 코트 4면 / 지하 1층, 지상 2층","양천구시설관리공단","02-2606-9301","06:00~22:00","09:00~18:00 / 공휴일 휴관 ","","가능","운영 프로그램에 따라 이용 요금 상이","주차 가능 (103면)","https://www.ycs.or.kr/fmcs/29","생활체육관","운영","샤워실, 탈의실, 스포츠용품샵",""
"832","구로","계남테니스장","공공체육시설","","서울특별시 구로구 고척2동 1-3번지","","코트 4면 (실내 하드코트 3면 + 실외 인조잔디 1면)","구로구시설관리공단","02-2611-9007","06:00~22:00","주말 및 공휴일 09:00~18:00","","가능","실내 : 평일 20,000원 / 주말 및 공휴일 30,000원   실외 : 평일 10,000원 / 주말 및 공휴일 15,000원","고척근린공원 공영주차장 이용 주차공간이 협소하므로 가급적 대중교통 이용","https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210218095453517817","테니스장","운영","탈의실, 휴게실",""
"1398","강동","고덕어울림수영장","공공체육시설","05222","서울특별시 강동구 고덕로 399 ","지하 1층 고덕어울림수영장","성인풀(25m) 4레인, 유아풀(15m) 2레인 / + 피트니스실, 댄스실","강동구도시관리공단","02-2045-7630","06:00~22:00","토요일 09:00~18:00 / 일요일 및 공휴일 휴관","","가능","운영 프로그램에 따라 이용 요금 상이","지정된 구역 외 주차 금지 주차장이 협소하므로 대중교통 이용 권장","https://www.igangdong.or.kr/page/ch/ch_1201.asp","수영장","운영","샤워실, 탈의실, 휴게실, 파우더룸, 관망대 ","* 21.11.01(월) 기준, 이용가능대상 - 백신접종완료 후, 14일이 경과한 자 - 48시간 내 PCR음성확인서를 발급받은 자 - 만 18세 이하 - 백신접종 예외자"
"1480","강동","고덕유수지야구장","공공체육시설","05202","서울특별시 강동구 아리수로87길 192","","간이야구장(마사토), 조명탑 4개소, 목재데크, 스코어전광판 (8,736㎡) ","강동구청 생활체육과","070-4158-9258","07:00~23:00","07:00~23:00","","가능","(2시간 기준) 평일 주간 : 60,500원 평일 야간, 주말 및 공휴일 : 78,650원 * 조명사용료 별도","주차 가능","https://gdsports.or.kr/info/baseball.do","야구장","운영","화장실, 연습장",""
"1489","구로","고척근린공원 농구장","공공체육시설","08239","서울특별시 구로구 고척로45길 1","","농구장 1면","구로구청 녹색도시과","02-2619-6640","00:00~24:00","00:00~24:00","","불가능","","구로구민체육센터 / 고척도서관 / 근린공원둘레 주차장 이용","https://www.guro.go.kr/www/contents.do?key=2996","농구장","운영","화장실, 음수대, 그늘막",""
"1488","구로","고척근린공원 배드민턴장","공공체육시설","08239","서울특별시 구로구 고척로45길 1","","배드민턴장 2면","구로구청 녹색도시과","02-2619-6640","00:00~24:00","00:00~24:00","","불가능","","구로구민체육센터 / 고척도서관 / 근린공원둘레 주차장 이용","https://www.guro.go.kr/www/contents.do?key=2996","배드민턴장","운영","화장실, 음수대, 그늘막",""
"833","구로","고척근린공원 운동장","공공체육시설","","서울특별시 구로구 고척동 산9-14번지","","8,472m²","구로구청 녹색도시과","02-2619-6640","00:00~24:00","00:00~24:00","","불가능","무료","구로구민체육센터 / 고척도서관 / 근린공원둘레 주차장 이용","http://www.gurocc.or.kr/guro/group_travel_info01.php","축구장","운영","화장실, 음수대, 그늘막",""
"834","구로","고척근린공원 테니스장","공공체육시설","","서울특별시 구로구 고척동 산9-14번지","","테니스장 3면","구로스포츠클럽","02-2066-3004","00:00~24:00","00:00~24:00","","불가능","일일 이용 : 5,000원 ","구로구민체육센터 / 고척도서관 / 근린공원둘레 주차장 이용","https://sportsclub.sports.or.kr/club/seoul-guro","테니스장","운영","화장실, 음수대, 그늘막",""
"1451","구로","고척스카이돔 돔구장","공공체육시설","08275","서울특별시 구로구 경인로 430","","연면적 83,623㎡","서울시설공단","02-2128-2331","00:00~24:00","00:00~24:00","","가능","(평일 주간 기준) 전용사용료 : 538,000원  ","주차 가능 (484면) 1시간 기준 : 평시 1,800원, 행사시 3,000원","https://www.sisul.or.kr/open_content/skydome/","기타","운영","매점, 스카이박스",""
"836","구로","고척스카이돔 수영장","공공체육시설","08275","서울특별시 구로구 경인로 430","","성인풀(25m) 6레인 / 총 면적 2,071㎡","서울시설공단","2066-5400","06:00~22:00","06:00~22:00","","불가능","운영 프로그램에 따라 이용 요금 상이","주차 가능 (484면) ","http://www.gocheok-sc.or.kr/","수영장","휴관","샤워실, 탈의실 ",""
"835","구로","고척스카이돔 주차장 내 농구장","공공체육시설","","서울특별시 구로구 고척동 66-47","","농구장 1면","서울시설공단","02-2128-2300","00:00~24:00","00:00~24:00","","불가능","무료","고척스카이돔 주차장 이용 (492면) 1시간 당 1,800원","https://www.sisul.or.kr/open_content/skydome/guidance/basketball.jsp","농구장","운영","편의시설 없음",""
"837","구로","고척스카이돔 축구장","공공체육시설","08275","서울특별시 구로구 경인로 430","","축구장 1면 (90m×50m) / 총 면적 4,500㎡","서울시설공단","02-2128-2352","06:00~22:00","06:00~22:00","","가능","운영 프로그램에 따라 이용 요금 상이","주차 가능 (484면) 1시간 기준 / 평시 1,800원, 행사시 3,000원","https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S221223151840748607","축구장","운영","샤워실, 탈의실",""
