district_code,district,year,cat1,cat2,val
11110,종로구,2015,양호한 주관적 건강수준 인지율,소계,49.3
11110,종로구,2015,음주,월간음주율,60.2
11110,종로구,2015,음주,연간음주자의 고위험음주율,17.7
11110,종로구,2015,정신건강,스트레스 인지율,26.4
11110,종로구,2015,정신건강,우울감 경험률,10.0
11110,종로구,2015,흡연,현재흡연율,21.2
11110,종로구,2015,흡연,현재흡연자의 금연시도율,28.0
11110,종로구,2016,비만율,소계,26.0
11110,종로구,2016,신체활동,걷기실천율,48.9
11110,종로구,2016,신체활동,증등도 이상 신체활동 실천율,18.7
11110,종로구,2016,양호한 주관적 건강수준 인지율,소계,46.0
11110,종로구,2016,음주,월간음주율,60.1
11110,종로구,2016,음주,연간음주자의 고위험음주율,20.1
11110,종로구,2016,정신건강,스트레스 인지율,25.4
11110,종로구,2016,정신건강,우울감 경험률,6.9
11110,종로구,2016,흡연,현재흡연율,20.4
11110,종로구,2016,흡연,현재흡연자의 금연시도율,35.2
11110,종로구,2017,비만율,소계,25.8
11110,종로구,2017,신체활동,걷기실천율,51.2
11110,종로구,2017,신체활동,증등도 이상 신체활동 실천율,21.4
11110,종로구,2017,양호한 주관적 건강수준 인지율,소계,45.5
11110,종로구,2017,음주,월간음주율,59.5
11110,종로구,2017,음주,연간음주자의 고위험음주율,19.4
11110,종로구,2017,정신건강,스트레스 인지율,24.1
11110,종로구,2017,정신건강,우울감 경험률,5.3
11110,종로구,2017,흡연,현재흡연율,16.5
11110,종로구,2017,흡연,현재흡연자의 금연시도율,30.9
11110,종로구,2018,비만율,소계,34.5
11110,종로구,2018,신체활동,걷기실천율,68.3
11110,종로구,2018,신체활동,증등도 이상 신체활동 실천율,-
11110,종로구,2018,양호한 주관적 건강수준 인지율,소계,44.6
11110,종로구,2018,음주,월간음주율,52.6
11110,종로구,2018,음주,연간음주자의 고위험음주율,14.6
11110,종로구,2018,정신건강,스트레스 인지율,31.5
11110,종로구,2018,정신건강,우울감 경험률,5.3
11110,종로구,2018,흡연,현재흡연율,18.6
11110,종로구,2018,흡연,현재흡연자의 금연시도율,18.9
11110,종로구,2019,비만율,소계,34.2
11110,종로구,2019,신체활동,걷기실천율,45.5
11110,종로구,2019,신체활동,증등도 이상 신체활동 실천율,20.7
11110,종로구,2019,양호한 주관적 건강수준 인지율,소계,35.4
11110,종로구,2019,음주,월간음주율,57.9
11110,종로구,2019,음주,연간음주자의 고위험음주율,21.1
11110,종로구,2019,정신건강,스트레스 인지율,26.2
11110,종로구,2019,정신건강,우울감 경험률,3.2
11110,종로구,2019,흡연,현재흡연율,17.9
11110,종로구,2019,흡연,현재흡연자의 금연시도율,55.8
11110,종로구,2020,비만율,소계,28.1
11110,종로구,2020,신체활동,걷기실천율,46.9
11110,종로구,2020,신체활동,증등도 이상 신체활동 실천율,16.9
11110,종로구,2020,양호한 주관적 건강수준 인지율,소계,65.4
11110,종로구,2020,음주,월간음주율,52.1
11110,종로구,2020,음주,연간음주자의 고위험음주율,9.9
11110,종로구,2020,정신건강,스트레스 인지율,26.9
11110,종로구,2020,정신건강,우울감 경험률,5.0
11110,종로구,2020,흡연,현재흡연율,13.9
11110,종로구,2020,흡연,현재흡연자의 금연시도율,43.9
11110,종로구,2021,비만율,소계,25.4
11110,종로구,2021,신체활동,걷기실천율,43.4
11110,종로구,2021,신체활동,증등도 이상 신체활동 실천율,16.9
11110,종로구,2021,양호한 주관적 건강수준 인지율,소계,48.2
11110,종로구,2021,음주,월간음주율,49.3
11110,종로구,2021,음주,연간음주자의 고위험음주율,13.9
11110,종로구,2021,정신건강,스트레스 인지율,27.7
11110,종로구,2021,정신건강,우울감 경험률,5.1
11110,종로구,2021,흡연,현재흡연율,15.8
11110,종로구,2021,흡연,현재흡연자의 금연시도율,49.1
11110,종로구,2022,비만율,소계,27.5
11110,종로구,2022,신체활동,걷기실천율,60.6
11110,종로구,2022,신체활동,증등도 이상 신체활동 실천율,23.8
11110,종로구,2022,양호한 주관적 건강수준 인지율,소계,50.2
11110,종로구,2022,음주,월간음주율,53.4
11110,종로구,2022,음주,연간음주자의 고위험음주율,9.6
11110,종로구,2022,정신건강,스트레스 인지율,27.9
11110,종로구,2022,정신건강,우울감 경험률,8.7
11110,종로구,2022,흡연,현재흡연율,15.8
11110,종로구,2022,흡연,현재흡연자의 금연시도율,50.0
11110,종로구,2023,비만율,소계,31.0
11110,종로구,2023,신체활동,걷기실천율,59.3
11110,종로구,2023,신체활동,증등도 이상 신체활동 실천율,23.0
11110,종로구,2023,양호한 주관적 건강수준 인지율,소계,44.2
11110,종로구,2023,음주,월간음주율,57.8
11110,종로구,2023,음주,연간음주자의 고위험음주율,14.4
11110,종로구,2023,정신건강,스트레스 인지율,28.1
11110,종로구,2023,정신건강,우울감 경험률,7.2
11110,종로구,2023,흡연,현재흡연율,13.2
11110,종로구,2023,흡연,현재흡연자의 금연시도율,51.6
11110,종로구,2024,비만율,소계,26.2
11110,종로구,2024,신체활동,걷기실천율,65.4
11110,종로구,2024,신체활동,증등도 이상 신체활동 실천율,24.6
11110,종로구,2024,양호한 주관적 건강수준 인지율,소계,45.5
11110,종로구,2024,음주,월간음주율,52.0
11110,종로구,2024,음주,연간음주자의 고위험음주율,16.0
11110,종로구,2024,정신건강,스트레스 인지율,21.2
11110,종로구,2024,정신건강,우울감 경험률,8.9
11110,종로구,2024,흡연,현재흡연율,15.0
11110,종로구,2024,흡연,현재흡연자의 금연시도율,45.8
11140,중구,2008,비만율,소계,16.7
11140,중구,2008,신체활동,걷기실천율,77.7
11140,중구,2008,신체활동,증등도 이상 신체활동 실천율,-
11140,중구,2008,양호한 주관적 건강수준 인지율,소계,55.8
11140,중구,2008,음주,월간음주율,55.3
11140,중구,2008,음주,연간음주자의 고위험음주율,14.1
11140,중구,2008,정신건강,스트레스 인지율,14.8
11140,중구,2008,정신건강,우울감 경험률,2.8
11140,중구,2008,흡연,현재흡연율,25.2
11140,중구,2008,흡연,현재흡연자의 금연시도율,-
11140,중구,2009,비만율,소계,23.5
11140,중구,2009,신체활동,걷기실천율,61.9
11140,중구,2009,신체활동,증등도 이상 신체활동 실천율,19.8
11140,중구,2009,양호한 주관적 건강수준 인지율,소계,44.5
11140,중구,2009,음주,월간음주율,57.8
11140,중구,2009,음주,연간음주자의 고위험음주율,18.5
11140,중구,2009,정신건강,스트레스 인지율,29.6
11140,중구,2009,정신건강,우울감 경험률,12.2
11140,중구,2009,흡연,현재흡연율,27.0
11140,중구,2009,흡연,현재흡연자의 금연시도율,-
11140,중구,2010,비만율,소계,19.7
11140,중구,2010,신체활동,걷기실천율,67.6
11140,중구,2010,신체활동,증등도 이상 신체활동 실천율,27.9
11140,중구,2010,양호한 주관적 건강수준 인지율,소계,50.6
11140,중구,2010,음주,월간음주율,63.0
11140,중구,2010,음주,연간음주자의 고위험음주율,13.3
11140,중구,2010,정신건강,스트레스 인지율,26.9
11140,중구,2010,정신건강,우울감 경험률,4.8
11140,중구,2010,흡연,현재흡연율,24.1
11140,중구,2010,흡연,현재흡연자의 금연시도율,-
11140,중구,2011,비만율,소계,20.1
11140,중구,2011,신체활동,걷기실천율,60.9
11140,중구,2011,신체활동,증등도 이상 신체활동 실천율,14.8
11140,중구,2011,양호한 주관적 건강수준 인지율,소계,52.6
11140,중구,2011,음주,월간음주율,63.1
11140,중구,2011,음주,연간음주자의 고위험음주율,19.5
11140,중구,2011,정신건강,스트레스 인지율,26.6
11140,중구,2011,정신건강,우울감 경험률,4.8
11140,중구,2011,흡연,현재흡연율,25.0
11140,중구,2011,흡연,현재흡연자의 금연시도율,-
11140,중구,2012,비만율,소계,20.9
11140,중구,2012,신체활동,걷기실천율,65.3
11140,중구,2012,신체활동,증등도 이상 신체활동 실천율,20.0
11140,중구,2012,양호한 주관적 건강수준 인지율,소계,48.6
11140,중구,2012,음주,월간음주율,58.0
11140,중구,2012,음주,연간음주자의 고위험음주율,22.6
11140,중구,2012,정신건강,스트레스 인지율,26.0
11140,중구,2012,정신건강,우울감 경험률,5.2
11140,중구,2012,흡연,현재흡연율,26.2
11140,중구,2012,흡연,현재흡연자의 금연시도율,24.3
11140,중구,2013,비만율,소계,23.9
11140,중구,2013,신체활동,걷기실천율,56.8
11140,중구,2013,신체활동,증등도 이상 신체활동 실천율,17.0
11140,중구,2013,양호한 주관적 건강수준 인지율,소계,38.4
11140,중구,2013,음주,월간음주율,56.6
11140,중구,2013,음주,연간음주자의 고위험음주율,16.3
11140,중구,2013,정신건강,스트레스 인지율,28.9
11140,중구,2013,정신건강,우울감 경험률,6.3
11140,중구,2013,흡연,현재흡연율,24.1
11140,중구,2013,흡연,현재흡연자의 금연시도율,24.2
11140,중구,2014,비만율,소계,25.6
11140,중구,2014,신체활동,걷기실천율,64.0
11140,중구,2014,신체활동,증등도 이상 신체활동 실천율,21.6
11140,중구,2014,양호한 주관적 건강수준 인지율,소계,42.4
11140,중구,2014,음주,월간음주율,61.2
11140,중구,2014,음주,연간음주자의 고위험음주율,16.6
11140,중구,2014,정신건강,스트레스 인지율,31.6
11140,중구,2014,정신건강,우울감 경험률,8.6
11140,중구,2014,흡연,현재흡연율,22.0
11140,중구,2014,흡연,현재흡연자의 금연시도율,40.8
11140,중구,2015,비만율,소계,23.6
11140,중구,2015,신체활동,걷기실천율,58.7
11140,중구,2015,신체활동,증등도 이상 신체활동 실천율,16.2
11140,중구,2015,양호한 주관적 건강수준 인지율,소계,40.5
11140,중구,2015,음주,월간음주율,60.2
11140,중구,2015,음주,연간음주자의 고위험음주율,18.4
11140,중구,2015,정신건강,스트레스 인지율,29.4
11140,중구,2015,정신건강,우울감 경험률,11.2
11140,중구,2015,흡연,현재흡연율,23.5
11140,중구,2015,흡연,현재흡연자의 금연시도율,32.5
11140,중구,2016,비만율,소계,25.7
11140,중구,2016,신체활동,걷기실천율,56.5
11140,중구,2016,신체활동,증등도 이상 신체활동 실천율,20.4
11140,중구,2016,양호한 주관적 건강수준 인지율,소계,43.9
11140,중구,2016,음주,월간음주율,59.5
11140,중구,2016,음주,연간음주자의 고위험음주율,20.3
11140,중구,2016,정신건강,스트레스 인지율,28.6
11140,중구,2016,정신건강,우울감 경험률,7.0
11140,중구,2016,흡연,현재흡연율,22.2
11140,중구,2016,흡연,현재흡연자의 금연시도율,26.9
11140,중구,2017,비만율,소계,24.5
11140,중구,2017,신체활동,걷기실천율,66.6
11140,중구,2017,신체활동,증등도 이상 신체활동 실천율,23.1
11140,중구,2017,양호한 주관적 건강수준 인지율,소계,46.1
11140,중구,2017,음주,월간음주율,54.4
11140,중구,2017,음주,연간음주자의 고위험음주율,15.7
11140,중구,2017,정신건강,스트레스 인지율,24.8
11140,중구,2017,정신건강,우울감 경험률,5.2
11140,중구,2017,흡연,현재흡연율,19.1
11140,중구,2017,흡연,현재흡연자의 금연시도율,15.7
11140,중구,2018,비만율,소계,31.6
11140,중구,2018,신체활동,걷기실천율,71.8
11140,중구,2018,신체활동,증등도 이상 신체활동 실천율,-
11140,중구,2018,양호한 주관적 건강수준 인지율,소계,39.4
11140,중구,2018,음주,월간음주율,60.4
11140,중구,2018,음주,연간음주자의 고위험음주율,18.5
11140,중구,2018,정신건강,스트레스 인지율,26.2
11140,중구,2018,정신건강,우울감 경험률,3.2
11140,중구,2018,흡연,현재흡연율,23.0
11140,중구,2018,흡연,현재흡연자의 금연시도율,19.1
11140,중구,2019,비만율,소계,29.1
11140,중구,2019,신체활동,걷기실천율,64.9
11140,중구,2019,신체활동,증등도 이상 신체활동 실천율,25.7
11140,중구,2019,양호한 주관적 건강수준 인지율,소계,46.4
11140,중구,2019,음주,월간음주율,54.4
11140,중구,2019,음주,연간음주자의 고위험음주율,19.8
11140,중구,2019,정신건강,스트레스 인지율,22.0
11140,중구,2019,정신건강,우울감 경험률,2.4
11140,중구,2019,흡연,현재흡연율,17.5
11140,중구,2019,흡연,현재흡연자의 금연시도율,12.7
11140,중구,2020,비만율,소계,25.6
11140,중구,2020,신체활동,걷기실천율,46.2
11140,중구,2020,신체활동,증등도 이상 신체활동 실천율,16.3
11140,중구,2020,양호한 주관적 건강수준 인지율,소계,64.1
11140,중구,2020,음주,월간음주율,39.2
11140,중구,2020,음주,연간음주자의 고위험음주율,10.6
11140,중구,2020,정신건강,스트레스 인지율,28.0
11140,중구,2020,정신건강,우울감 경험률,3.3
11140,중구,2020,흡연,현재흡연율,15.7
11140,중구,2020,흡연,현재흡연자의 금연시도율,29.2
11140,중구,2021,비만율,소계,27.2
11140,중구,2021,신체활동,걷기실천율,55.1
11140,중구,2021,신체활동,증등도 이상 신체활동 실천율,20.6
11140,중구,2021,양호한 주관적 건강수준 인지율,소계,54.8
11140,중구,2021,음주,월간음주율,48.3
11140,중구,2021,음주,연간음주자의 고위험음주율,8.2
11140,중구,2021,정신건강,스트레스 인지율,26.3
11140,중구,2021,정신건강,우울감 경험률,9.7
11140,중구,2021,흡연,현재흡연율,15.9
11140,중구,2021,흡연,현재흡연자의 금연시도율,45.2
11140,중구,2022,비만율,소계,25.5
11140,중구,2022,신체활동,걷기실천율,60.3
11140,중구,2022,신체활동,증등도 이상 신체활동 실천율,28.7
11140,중구,2022,양호한 주관적 건강수준 인지율,소계,56.7
11140,중구,2022,음주,월간음주율,53.8
11140,중구,2022,음주,연간음주자의 고위험음주율,11.6
11140,중구,2022,정신건강,스트레스 인지율,23.9
11140,중구,2022,정신건강,우울감 경험률,7.7
11140,중구,2022,흡연,현재흡연율,16.4
11140,중구,2022,흡연,현재흡연자의 금연시도율,33.3
11140,중구,2023,비만율,소계,24.3
11140,중구,2023,신체활동,걷기실천율,66.6
11140,중구,2023,신체활동,증등도 이상 신체활동 실천율,29.0
11140,중구,2023,양호한 주관적 건강수준 인지율,소계,57.4
11140,중구,2023,음주,월간음주율,55.2
11140,중구,2023,음주,연간음주자의 고위험음주율,11.1
11140,중구,2023,정신건강,스트레스 인지율,22.0
11140,중구,2023,정신건강,우울감 경험률,6.9
11140,중구,2023,흡연,현재흡연율,18.6
11140,중구,2023,흡연,현재흡연자의 금연시도율,32.9
11140,중구,2024,비만율,소계,26.9
11140,중구,2024,신체활동,걷기실천율,71.5
11140,중구,2024,신체활동,증등도 이상 신체활동 실천율,24.9
11140,중구,2024,양호한 주관적 건강수준 인지율,소계,54.8
11140,중구,2024,음주,월간음주율,51.9
11140,중구,2024,음주,연간음주자의 고위험음주율,12.0
11140,중구,2024,정신건강,스트레스 인지율,24.1
11140,중구,2024,정신건강,우울감 경험률,5.1
11140,중구,2024,흡연,현재흡연율,14.1
11140,중구,2024,흡연,현재흡연자의 금연시도율,31.3
11170,용산구,2008,비만율,소계,19.9
11170,용산구,2008,신체활동,걷기실천율,48.3
11170,용산구,2008,신체활동,증등도 이상 신체활동 실천율,-
11170,용산구,2008,양호한 주관적 건강수준 인지율,소계,50.0
11170,용산구,2008,음주,월간음주율,53.4
11170,용산구,2008,음주,연간음주자의 고위험음주율,24.6
11170,용산구,2008,정신건강,스트레스 인지율,39.2
11170,용산구,2008,정신건강,우울감 경험률,8.0
11170,용산구,2008,흡연,현재흡연율,26.5
11170,용산구,2008,흡연,현재흡연자의 금연시도율,-
11170,용산구,2009,비만율,소계,19.5
11170,용산구,2009,신체활동,걷기실천율,69.4
11170,용산구,2009,신체활동,증등도 이상 신체활동 실천율,14.7
11170,용산구,2009,양호한 주관적 건강수준 인지율,소계,64.3
11170,용산구,2009,음주,월간음주율,56.8
11170,용산구,2009,음주,연간음주자의 고위험음주율,23.1
11170,용산구,2009,정신건강,스트레스 인지율,30.5
11170,용산구,2009,정신건강,우울감 경험률,8.8
11170,용산구,2009,흡연,현재흡연율,25.1
11170,용산구,2009,흡연,현재흡연자의 금연시도율,-
11170,용산구,2010,비만율,소계,17.7
11170,용산구,2010,신체활동,걷기실천율,68.8
11170,용산구,2010,신체활동,증등도 이상 신체활동 실천율,26.2
11170,용산구,2010,양호한 주관적 건강수준 인지율,소계,65.0
11170,용산구,2010,음주,월간음주율,43.6
11170,용산구,2010,음주,연간음주자의 고위험음주율,14.9
11170,용산구,2010,정신건강,스트레스 인지율,22.3
11170,용산구,2010,정신건강,우울감 경험률,4.8
11170,용산구,2010,흡연,현재흡연율,24.5
11170,용산구,2010,흡연,현재흡연자의 금연시도율,-
11170,용산구,2011,비만율,소계,22.6
11170,용산구,2011,신체활동,걷기실천율,50.9
11170,용산구,2011,신체활동,증등도 이상 신체활동 실천율,16.6
11170,용산구,2011,양호한 주관적 건강수준 인지율,소계,43.9
11170,용산구,2011,음주,월간음주율,60.2
11170,용산구,2011,음주,연간음주자의 고위험음주율,18.0
11170,용산구,2011,정신건강,스트레스 인지율,29.0
11170,용산구,2011,정신건강,우울감 경험률,6.7
11170,용산구,2011,흡연,현재흡연율,22.3
11170,용산구,2011,흡연,현재흡연자의 금연시도율,-
11170,용산구,2012,비만율,소계,27.7
11170,용산구,2012,신체활동,걷기실천율,58.0
11170,용산구,2012,신체활동,증등도 이상 신체활동 실천율,20.0
11170,용산구,2012,양호한 주관적 건강수준 인지율,소계,41.7
11170,용산구,2012,음주,월간음주율,60.5
11170,용산구,2012,음주,연간음주자의 고위험음주율,17.5
11170,용산구,2012,정신건강,스트레스 인지율,31.3
11170,용산구,2012,정신건강,우울감 경험률,7.7
11170,용산구,2012,흡연,현재흡연율,23.0
11170,용산구,2012,흡연,현재흡연자의 금연시도율,36.0
11170,용산구,2013,비만율,소계,22.5
11170,용산구,2013,신체활동,걷기실천율,61.8
11170,용산구,2013,신체활동,증등도 이상 신체활동 실천율,19.4
11170,용산구,2013,양호한 주관적 건강수준 인지율,소계,49.7
11170,용산구,2013,음주,월간음주율,58.2
11170,용산구,2013,음주,연간음주자의 고위험음주율,14.3
11170,용산구,2013,정신건강,스트레스 인지율,25.9
11170,용산구,2013,정신건강,우울감 경험률,7.1
11170,용산구,2013,흡연,현재흡연율,21.0
11170,용산구,2013,흡연,현재흡연자의 금연시도율,29.9
11170,용산구,2014,비만율,소계,25.0
11170,용산구,2014,신체활동,걷기실천율,64.7
11170,용산구,2014,신체활동,증등도 이상 신체활동 실천율,24.5
11170,용산구,2014,양호한 주관적 건강수준 인지율,소계,50.7
11170,용산구,2014,음주,월간음주율,57.6
11170,용산구,2014,음주,연간음주자의 고위험음주율,18.3
11170,용산구,2014,정신건강,스트레스 인지율,26.4
11170,용산구,2014,정신건강,우울감 경험률,9.5
11170,용산구,2014,흡연,현재흡연율,21.3
11170,용산구,2014,흡연,현재흡연자의 금연시도율,22.9
11170,용산구,2015,비만율,소계,24.7
11170,용산구,2015,신체활동,걷기실천율,63.3
11170,용산구,2015,신체활동,증등도 이상 신체활동 실천율,22.1
11170,용산구,2015,양호한 주관적 건강수준 인지율,소계,53.3
11170,용산구,2015,음주,월간음주율,57.3
11170,용산구,2015,음주,연간음주자의 고위험음주율,21.3
11170,용산구,2015,정신건강,스트레스 인지율,26.4
11170,용산구,2015,정신건강,우울감 경험률,4.3
11170,용산구,2015,흡연,현재흡연율,21.5
11170,용산구,2015,흡연,현재흡연자의 금연시도율,32.0
11170,용산구,2016,비만율,소계,24.0
11170,용산구,2016,신체활동,걷기실천율,51.1
11170,용산구,2016,신체활동,증등도 이상 신체활동 실천율,22.4
11170,용산구,2016,양호한 주관적 건강수준 인지율,소계,52.2
11170,용산구,2016,음주,월간음주율,54.7
11170,용산구,2016,음주,연간음주자의 고위험음주율,18.9
11170,용산구,2016,정신건강,스트레스 인지율,28.7
11170,용산구,2016,정신건강,우울감 경험률,6.2
11170,용산구,2016,흡연,현재흡연율,19.5
11170,용산구,2016,흡연,현재흡연자의 금연시도율,31.9
11170,용산구,2017,비만율,소계,25.8
11170,용산구,2017,신체활동,걷기실천율,59.7
11170,용산구,2017,신체활동,증등도 이상 신체활동 실천율,27.1
11170,용산구,2017,양호한 주관적 건강수준 인지율,소계,52.2
11170,용산구,2017,음주,월간음주율,54.6
11170,용산구,2017,음주,연간음주자의 고위험음주율,16.6
11170,용산구,2017,정신건강,스트레스 인지율,20.8
11170,용산구,2017,정신건강,우울감 경험률,5.7
11170,용산구,2017,흡연,현재흡연율,19.7
11170,용산구,2017,흡연,현재흡연자의 금연시도율,18.1
11170,용산구,2018,비만율,소계,30.2
11170,용산구,2018,신체활동,걷기실천율,72.0
11170,용산구,2018,신체활동,증등도 이상 신체활동 실천율,-
11170,용산구,2018,양호한 주관적 건강수준 인지율,소계,51.6
11170,용산구,2018,음주,월간음주율,57.8
11170,용산구,2018,음주,연간음주자의 고위험음주율,16.5
11170,용산구,2018,정신건강,스트레스 인지율,19.4
11170,용산구,2018,정신건강,우울감 경험률,2.1
11170,용산구,2018,흡연,현재흡연율,17.7
11170,용산구,2018,흡연,현재흡연자의 금연시도율,10.8
11170,용산구,2019,비만율,소계,26.5
11170,용산구,2019,신체활동,걷기실천율,69.3
11170,용산구,2019,신체활동,증등도 이상 신체활동 실천율,26.6
11170,용산구,2019,양호한 주관적 건강수준 인지율,소계,54.7
11170,용산구,2019,음주,월간음주율,55.0
11170,용산구,2019,음주,연간음주자의 고위험음주율,16.1
11170,용산구,2019,정신건강,스트레스 인지율,14.8
11170,용산구,2019,정신건강,우울감 경험률,2.1
11170,용산구,2019,흡연,현재흡연율,11.3
11170,용산구,2019,흡연,현재흡연자의 금연시도율,18.9
11170,용산구,2020,비만율,소계,25.4
11170,용산구,2020,신체활동,걷기실천율,62.5
11170,용산구,2020,신체활동,증등도 이상 신체활동 실천율,17.9
11170,용산구,2020,양호한 주관적 건강수준 인지율,소계,68.2
11170,용산구,2020,음주,월간음주율,44.4
11170,용산구,2020,음주,연간음주자의 고위험음주율,20.8
11170,용산구,2020,정신건강,스트레스 인지율,21.8
11170,용산구,2020,정신건강,우울감 경험률,2.4
11170,용산구,2020,흡연,현재흡연율,17.6
11170,용산구,2020,흡연,현재흡연자의 금연시도율,24.4
11170,용산구,2021,비만율,소계,26.2
11170,용산구,2021,신체활동,걷기실천율,55.1
11170,용산구,2021,신체활동,증등도 이상 신체활동 실천율,19.6
11170,용산구,2021,양호한 주관적 건강수준 인지율,소계,52.8
11170,용산구,2021,음주,월간음주율,52.2
11170,용산구,2021,음주,연간음주자의 고위험음주율,15.6
11170,용산구,2021,정신건강,스트레스 인지율,23.3
11170,용산구,2021,정신건강,우울감 경험률,6.4
11170,용산구,2021,흡연,현재흡연율,16.5
11170,용산구,2021,흡연,현재흡연자의 금연시도율,28.8
11170,용산구,2022,비만율,소계,27.2
11170,용산구,2022,신체활동,걷기실천율,65.4
11170,용산구,2022,신체활동,증등도 이상 신체활동 실천율,21.3
11170,용산구,2022,양호한 주관적 건강수준 인지율,소계,59.4
11170,용산구,2022,음주,월간음주율,52.6
11170,용산구,2022,음주,연간음주자의 고위험음주율,11.3
11170,용산구,2022,정신건강,스트레스 인지율,16.7
11170,용산구,2022,정신건강,우울감 경험률,3.6
11170,용산구,2022,흡연,현재흡연율,14.6
11170,용산구,2022,흡연,현재흡연자의 금연시도율,18.2
11170,용산구,2023,비만율,소계,26.7
11170,용산구,2023,신체활동,걷기실천율,70.1
11170,용산구,2023,신체활동,증등도 이상 신체활동 실천율,26.2
11170,용산구,2023,양호한 주관적 건강수준 인지율,소계,54.1
11170,용산구,2023,음주,월간음주율,57.8
11170,용산구,2023,음주,연간음주자의 고위험음주율,14.7
11170,용산구,2023,정신건강,스트레스 인지율,22.5
11170,용산구,2023,정신건강,우울감 경험률,7.0
11170,용산구,2023,흡연,현재흡연율,17.2
11170,용산구,2023,흡연,현재흡연자의 금연시도율,29.9
11170,용산구,2024,비만율,소계,24.8
11170,용산구,2024,신체활동,걷기실천율,78.9
